description,category,urgency_score,urgency_level,location_type,category_label,urgency_label,text_length
People are throwing waste in the open area and the pile is getting bigger. The collection vehicle has not come recently.,garbage,8.5,high,residential,2,1,21
"Speed-limit sign hanging from one bolt in a commercial area, motorcycles are braking near the barriers.",road_damaged_sign,7.5,high,commercial,6,1,16
"The highway shoulder is badly damaged and contains loose concrete pieces that could affect traffic, beside the factory service route.",infrastructure,6.0,medium,industrial,4,3,20
"Cross-road drain leaking near a hospital since yesterday, dirty water is crossing the entrance.",drainage,8.0,high,hospital,1,1,14
"Household waste left outside homes, beside the hospital.",domestic_trash,5.5,medium,hospital,0,3,8
"Stop sign missing from its pole in Kathmandu, traffic slows while drivers confirm the route.",road_damaged_sign,4.0,low,residential,6,2,15
सार्वजनिक पर्खाल औद्योगिक क्षेत्र मा तोडफोड भएको छ। जिम्मेवार मानिस पत्ता लगाउनुपर्यो।,vandalism,3.5,medium,industrial,8,3,12
"Cargo vans left near an industrial gate, large vehicles have little turning space.",illegal_parking,6.0,medium,industrial,3,3,13
"Cracked pavement creating a trip hazard, near the school.",infrastructure,4.0,medium,school,4,3,9
"Public gutter overflowing with sewage, residents face a serious health risk.",drainage,9.5,critical,residential,1,0,11
"Government vehicles parked on both sides of a narrow road, emergency vehicles cannot pass.",illegal_parking,9.5,critical,hospital,3,0,14
"Pickup vehicles left beside a no-parking sign, traffic is moving slowly.",illegal_parking,6.0,medium,commercial,3,3,11
Household trash bags are scattered across the residential street after being torn open by stray dogs near the school entrance.,domestic_trash,7.5,high,school,0,1,20
"Pedestrian-crossing sign missing from its pole near an industrial road, pedestrians cannot find the crossing point.",road_damaged_sign,7.0,high,industrial,6,1,16
Garbage is lying on the street and people are walking around it. The garbage is increasing day by day.,garbage,6.5,high,market,2,1,19
A waste collection point is overflowing and loose rubbish is spreading into the nearby road near the community area.,trash,7.5,high,public,7,1,19
There is rubbish around the road and it needs cleaning. It has been there for several days.,garbage,5.0,medium,school,2,3,17
A pothole is causing buses and cars to slow down. Motorcycles are slowing down at that point.,pothole,7.0,high,school,5,1,17
"Industrial drain blocked on the highway, waterlogging is slowing heavy traffic.",drainage,7.5,high,highway,1,1,11
"Road divider covered with political slogans on a highway, sharp parts are exposed beside pedestrians.",vandalism,8.5,high,highway,8,1,15
Household waste has been left beside the road for several days and is attracting insects and stray animals near the hospital entrance.,domestic_trash,6.0,medium,hospital,0,3,22
"Culvert blocked on the highway since yesterday, waterlogging is slowing heavy traffic.",drainage,7.5,high,highway,1,1,12
"Health-post wall covered with spray-painted tags near an industrial road, visitors cannot identify the correct entrance.",vandalism,6.0,medium,industrial,8,3,16
A broken concrete barrier has fallen partly onto the road and is creating a traffic hazard beside the school boundary.,infrastructure,8.5,high,school,4,1,20
"Household garbage has accumulated near the entrance of several houses and is becoming difficult to manage, along the industrial access road.",domestic_trash,5.0,medium,industrial,0,3,21
A broken concrete barrier has fallen partly onto the road and is creating a traffic hazard along the student walkway.,infrastructure,9.8,high,school,4,1,20
"Government vehicles blocking a residential driveway since yesterday, residents cannot move their vehicles.",illegal_parking,5.0,medium,residential,3,3,13
"Pedestrian underpass damaged with permanent marker on a residential road, the markings are small but visible.",vandalism,3.5,low,residential,8,2,16
सिग्नल बोर्ड अस्पताल मा पुरानो भएर मानिसहरूले देख्न सक्दैनन्। छिटो मर्मत गर्नुपर्यो।,road_damaged_sign,9.0,critical,hospital,6,0,12
"Minibuses parked across a school gate since yesterday, children are entering through traffic.",illegal_parking,7.5,high,school,3,1,13
The road has a damaged patch with a noticeable hole. The hole is creating a serious risk for people using the road.,pothole,9.0,critical,market,5,0,22
"Several sections of the road edge have collapsed, leaving an unsafe drop beside the main route, near the shopping area.",infrastructure,7.0,high,commercial,4,1,20
The pothole is making it uncomfortable for people riding motorcycles. The hole is making the road uncomfortable to use.,pothole,7.5,high,school,5,1,19
"Cargo vans parked on both sides of a narrow road after recent rain, emergency vehicles cannot pass.",illegal_parking,9.0,critical,hospital,3,0,17
"Taxis blocking a market loading area since yesterday, deliveries and shoppers are delayed.",illegal_parking,5.5,medium,market,3,3,13
Uncollected household waste is producing a bad smell and causing complaints from nearby residents beside the factory service route.,domestic_trash,6.0,medium,industrial,0,3,19
"Heritage rest house covered with illegal advertising near a hospital, the culturally important surface is damaged.",vandalism,7.5,high,hospital,8,1,16
"Deep potholes damaging the road surface, near the warehouse.",infrastructure,7.5,high,industrial,4,1,9
The road has a deep hole that drivers need to avoid. Buses are slowing down near the damaged section.,pothole,9.0,critical,residential,5,0,19
"Public toilet marked with offensive words in a public area, the same place was damaged repeatedly.",vandalism,6.5,high,public,8,1,16
A pothole is getting larger after rain. Vehicles are swerving to avoid the hole.,pothole,7.0,high,hospital,5,1,14
"Taxis left beside a no-parking sign, traffic is moving slowly.",illegal_parking,5.0,medium,commercial,3,3,10
"School boundary wall covered with spray-painted tags near an industrial road, damage is visible from the school gate.",vandalism,5.5,medium,industrial,8,3,18
म्यानहोलको ढक्कन फुटेर राजमार्ग को बाटोमा ठूलो खाल्डो भएको छ। मर्मत सम्भार आवश्यक छ।,infrastructure,7.9,high,highway,4,1,14
"Residential drain filled with mud after rain since yesterday, water is entering nearby shops.",drainage,7.5,high,market,1,1,14
The waste area is attracting flies and has a strong smell. There are food leftovers mixed with plastic.,garbage,9.0,critical,market,2,0,18
"One-way sign cracked with a loose edge near a school, vehicles are entering from conflicting directions.",road_damaged_sign,9.5,critical,school,6,0,16
"Narrow-bridge sign hidden by branches near a market, motorcycles are braking suddenly.",road_damaged_sign,8.0,high,market,6,1,12
"Cars parked across a school gate since yesterday, children are entering through traffic.",illegal_parking,8.0,high,school,3,1,13
A section of concrete near the hospital entrance has broken apart and is obstructing pedestrian access.,infrastructure,8.0,high,school,4,1,16
"Public notice board defaced with large drawings in a commercial area, part of the public notice cannot be read.",vandalism,5.5,medium,commercial,8,3,19
"Rental cars blocking a market loading area since yesterday, deliveries and shoppers are delayed.",illegal_parking,6.0,medium,market,3,3,14
"Animal-crossing sign missing from its pole in Birgunj, drivers are not warned about livestock.",road_damaged_sign,7.0,high,public,6,1,14
"Culvert covered by construction debris after recent rain, water cannot reach the outlet.",drainage,5.5,medium,industrial,1,3,13
The road has a large uneven section caused by a pothole. Vehicles are swerving to avoid the hole.,pothole,8.0,high,hospital,5,1,18
"Covered drain covered by construction debris, water cannot reach the outlet.",drainage,5.5,medium,industrial,1,3,11
"Waste enclosure damaged with permanent marker near a market, the same place was damaged repeatedly.",vandalism,5.5,medium,market,8,3,15
"Heritage rest house covered with illegal advertising near a hospital, special cleaning is required.",vandalism,6.0,medium,hospital,8,3,14
"Market drain breeding mosquitoes since yesterday, the area has an increased disease risk.",drainage,6.5,high,residential,1,1,13
"Health-post wall covered with political slogans near an industrial road, patients cannot read the service details.",vandalism,6.0,medium,industrial,8,3,16
"Rubbish piled up beside the walkway, on the public walkway.",trash,4.5,medium,public,7,3,10
There is a pothole on the road and vehicles have to slow down. The broken area is getting wider.,pothole,7.0,high,school,5,1,19
"Household rubbish blocking the pavement, beside the school.",domestic_trash,3.0,low,school,0,2,8
"Hospital access drain giving off a strong smell, nearby residents cannot open windows.",drainage,5.5,medium,residential,1,3,13
The pothole is making it uncomfortable for people riding motorcycles. The road surface around the hole is also breaking.,pothole,7.0,high,school,5,1,19
फोहोर राख्ने ठाउँ नभएकोले मानिसहरूले सार्वजनिक स्थान मा नै फोहोर फाल्ने गर्छन्। छिटो फोहोर उठाइदिनुपर्यो।,domestic_trash,3.3,low,public,0,2,15
"Loose paving blocks near the entrance, at the hospital entrance.",infrastructure,8.0,high,hospital,4,1,10
"Garbage blocked the drainage system, water overflowing on the road, flood risk",garbage,8.5,high,residential,2,1,12
Discarded food packaging is covering part of the pavement near the shopping area near the school entrance.,trash,6.0,medium,school,7,3,17
"Bridge-load sign cracked with a loose edge on a residential road, heavy vehicles may enter an unsafe bridge.",road_damaged_sign,9.5,critical,residential,6,0,18
"Public rubbish has been left beside the community walkway and is affecting normal pedestrian access, along the neighborhood road.",trash,7.0,high,residential,7,1,19
"Heritage rest house covered with political slogans near a hospital, special cleaning is required.",vandalism,6.0,medium,hospital,8,3,14
There is a hole near the edge of the road where motorcycles pass. Rainwater is collecting in the hole.,pothole,2.0,low,residential,5,2,19
Bato ko bich ma khadal parera gadi haru avoid garirachan. Repair garnu paryo.,pothole,8.0,high,hospital,5,1,13
Household waste has been left outside for several days. People are avoiding that part of the street.,garbage,2.5,low,residential,2,2,17
A damaged road surface has developed deep potholes that are difficult for vehicles to avoid beside the highway access route.,infrastructure,7.0,high,highway,4,1,20
"Broken barrier blocking part of the road, on the market street.",infrastructure,2.5,low,commercial,4,2,11
"No-entry sign knocked down near a hospital, drivers are taking wrong turns and causing traffic.",road_damaged_sign,7.0,high,hospital,6,1,15
"Bato ma thulo khadal cha, gadi haru slow garnu parcha. Repair garnu paryo.",pothole,8.0,high,residential,5,1,13
"One-way sign knocked down near a school, drivers are taking wrong turns and causing traffic.",road_damaged_sign,7.0,high,school,6,1,15
"Trucks blocking a public bus stop in Tulsipur after recent rain, buses are stopping in the traffic lane.",illegal_parking,7.5,high,commercial,3,1,18
The road has a large uneven section caused by a pothole. It becomes harder to see when it rains.,pothole,8.5,high,hospital,5,1,19
Collapsed drain leaving an open gap at the school entrance.,infrastructure,2.5,low,school,4,2,10
"Cars blocking a public bus stop after recent rain, buses are stopping in the traffic lane.",illegal_parking,7.5,high,commercial,3,1,16
"Plastic bottles scattered near the road, near the hospital.",trash,2.5,low,hospital,7,2,9
Rubbish piled up beside the walkway at the public road.,trash,8.5,high,public,7,1,10
A hole in the road is causing vehicles to shake while passing. People are asking for the road to be repaired.,pothole,5.0,medium,school,5,3,21
बिजुलीको पोल बाङ्गिएर अस्पताल को बाटोमा खतरा सिर्जना भएको छ। मर्मत सम्भार आवश्यक छ।,infrastructure,9.3,critical,hospital,4,0,14
"Industrial drain damaged near a commercial area, wastewater is spreading on the footpath.",drainage,7.0,high,commercial,1,1,13
"School-side drain breeding mosquitoes since yesterday, the area has an increased disease risk.",drainage,7.0,high,residential,1,1,13
"School boundary wall left with its notice torn down near an industrial road, children can see inappropriate language.",vandalism,6.5,high,industrial,8,1,18
"Trucks parked on both sides of a narrow road in Tulsipur after recent rain, emergency vehicles cannot pass.",illegal_parking,8.5,high,hospital,3,1,18
"Speed-limit sign turned toward the wrong road in a commercial area, vehicles are entering the work area too fast.",road_damaged_sign,8.0,high,commercial,6,1,19
Garbage is collecting near houses and the smell is getting worse. People are avoiding that part of the street.,garbage,5.0,medium,market,2,3,19
"Storm-water drain covered by construction debris since yesterday, water cannot reach the outlet.",drainage,6.5,high,industrial,1,1,13
Household waste has been left outside for several days. It has been there for several days.,garbage,7.5,high,school,2,1,16
सडकको सतह भत्किएर अस्पताल मा गाडी चलाउन गाह्रो भएको छ। मर्मत सम्भार आवश्यक छ।,infrastructure,9.3,critical,hospital,4,0,14
"Microbuses blocking a residential driveway since yesterday, residents cannot move their vehicles.",illegal_parking,5.5,medium,residential,3,3,12
घरघरबाट आएको फोहोर राजमार्ग को ढलसम्म पुगेको छ। मानिसहरूलाई धेरै समस्या भएको छ।,domestic_trash,7.7,high,highway,0,1,13
"Speed-limit sign blocked by a vendor board in a commercial area, vehicles are entering the work area too fast.",road_damaged_sign,8.0,high,commercial,6,1,19
Household rubbish blocking the pavement at at the school entrance.,domestic_trash,7.0,high,school,0,1,10
The road surface has broken away and left a hole. It is causing vehicles to shake while crossing.,pothole,5.0,medium,school,5,3,18
"Bus-stop sign blocked by a vendor board in a commercial area, passengers are stepping into moving traffic.",road_damaged_sign,8.0,high,commercial,6,1,17
Khana ko fohor ra plastic bato ma chhariyeko cha. Yesto fohor uthauna paryo.,garbage,5.0,medium,residential,2,3,13
"Motorcycles parked across a school gate since yesterday, children are entering through traffic.",illegal_parking,8.5,high,school,3,1,13
Garbage is collecting near houses and the smell is getting worse. The smell is noticeable around the area.,garbage,5.0,medium,market,2,3,18
"Public gutter leaking near a hospital after recent rain, dirty water is crossing the entrance.",drainage,9.0,critical,hospital,1,0,15
The garbage pickup has been irregular and waste is staying outside. The pile is spreading across the walking area.,garbage,8.5,high,residential,2,1,19
दिशा सूचक बोर्ड विद्यालय बाट हराएर चालकहरू भ्रमित भइरहेका छन्। नयाँ साइन राख्नुपर्यो।,road_damaged_sign,7.8,critical,school,6,0,13
"Health-post wall damaged with permanent marker near an industrial road, visitors cannot identify the correct entrance.",vandalism,7.0,high,industrial,8,1,16
"Public water tap marked with offensive words in a public area, the public facility is unsafe to use.",vandalism,7.0,high,public,8,1,18
People are leaving garbage beside the road instead of in the bin. Residents are asking for the waste to be picked up.,garbage,2.5,low,residential,2,2,22
ढल आवासीय क्षेत्र मा अवरुद्ध भएर फोहोर पानी बाहिर बगिरहेको छ। सरकारले चाँडै हेर्नुपर्यो।,drainage,5.2,high,residential,1,1,14
"Hospital direction sign faded and unreadable in Bhaktapur, patients are taking wrong turns.",road_damaged_sign,6.5,high,school,6,1,13
There is a bad smell coming from the garbage near the street. It has been there for several days.,garbage,6.5,high,residential,2,1,19
"Public wall covered with illegal advertising near a school, the same place was damaged repeatedly.",vandalism,6.0,medium,school,8,3,15
मूर्ति र शिल्पकला व्यापारिक क्षेत्र मा भत्किएको छ। छिटो सफा गर्नुपर्यो।,vandalism,5.5,medium,commercial,8,3,11
A pothole is causing buses and cars to slow down. The damaged section is making traffic slower.,pothole,7.0,high,residential,5,1,17
बाटोको किनारा धेरै ठाउँबाट खस्केर विद्यालय मा खतरा भएको छ। छिटो मर्मत गर्नुपर्यो।,infrastructure,8.3,critical,school,4,0,13
"Cross-road drain blocked on the highway after recent rain, waterlogging is slowing heavy traffic.",drainage,8.5,high,highway,1,1,14
"Minibuses blocking a residential driveway, residents cannot move their vehicles.",illegal_parking,5.0,medium,residential,3,3,10
Rati khadal dekhna garo huncha. Gadi haru lai problem bhairako cha.,pothole,3.5,low,residential,5,2,11
"Covered drain filled with mud after rain, water is entering nearby shops.",drainage,8.0,high,market,1,1,12
"Garbage bags torn open by dogs, in the business area.",domestic_trash,3.0,low,commercial,0,2,10
The pothole is filled with rainwater and its depth is hard to see. People are asking for the road to be repaired.,pothole,5.5,medium,school,5,3,22
A pothole has appeared after the recent rain. Several motorcycles are avoiding the same spot.,pothole,5.0,medium,market,5,3,15
"Food containers scattered near the shops, near the factory.",trash,5.0,medium,industrial,7,3,9
"Hospital direction sign knocked down near a school, visitors need help finding the entrance.",road_damaged_sign,4.0,low,school,6,2,14
"Junction sign hidden by branches near an industrial road, drivers are taking wrong turns and causing traffic.",road_damaged_sign,6.0,medium,industrial,6,3,17
"Mixed litter blocking the footpath, near homes.",trash,5.0,medium,residential,7,3,7
"Broken barrier blocking part of the road, beside the school.",infrastructure,6.5,medium,school,4,3,10
"Hospital access drain overflowing with sewage after recent rain, residents face a serious health risk.",drainage,9.0,critical,residential,1,0,15
The road is uneven because of a pothole. The road surface around the hole is also breaking.,pothole,7.5,high,hospital,5,1,17
A pothole has appeared after the recent rain. Rainwater is collecting in the hole.,pothole,8.5,high,school,5,1,14
Household rubbish blocking the pavement at the residential lane.,domestic_trash,9.0,high,residential,0,1,9
"Public gutter collapsed beside the road, pedestrians could fall into the opening.",drainage,9.0,critical,public,1,0,12
"Cross-road drain overflowing near a school since yesterday, children are walking through dirty water.",drainage,8.0,high,school,1,1,14
There is a broken section of road near the walking path. Several motorcycles are avoiding the same spot.,pothole,8.5,high,school,5,1,18
"Cargo vans parked fully on the footpath after recent rain, pedestrians are forced onto the road.",illegal_parking,7.5,high,residential,3,1,16
"Community drain blocked with plastic waste since yesterday, rainwater is flooding the road.",drainage,7.5,high,residential,1,1,13
A pothole is causing buses and cars to slow down. People are asking for the road to be repaired.,pothole,7.5,high,school,5,1,19
"Covered drain filled with mud after rain after recent rain, water is entering nearby shops.",drainage,8.0,high,market,1,1,15
"Household trash bags are scattered across the residential street after being torn open by stray dogs, beside the public access route.",domestic_trash,4.0,medium,public,0,3,21
"Taxis blocking a hospital entrance, ambulances are delayed.",illegal_parking,9.5,critical,hospital,3,0,8
फोहोर राख्ने ठाउँ नभएकोले मानिसहरूले आवासीय क्षेत्र मा नै फोहोर फाल्ने गर्छन्। मानिसहरूलाई धेरै समस्या भएको छ।,domestic_trash,6.3,high,residential,0,1,17
"Bridge-load sign turned toward the wrong road on a residential road, heavy vehicles may enter an unsafe bridge.",road_damaged_sign,9.5,critical,residential,6,0,18
"Bridge-load sign fallen into a drain in Hetauda, truck drivers cannot confirm the load limit.",road_damaged_sign,6.5,high,residential,6,1,15
The pothole is filled with rainwater and its depth is hard to see. Cars are moving around it to avoid the hole.,pothole,3.0,low,hospital,5,2,22
ढल लाइन औद्योगिक क्षेत्र मा फुटेर दुर्गन्ध आइरहेको छ। मानिसहरूलाई स्वास्थ्य खतरा भएको छ।,drainage,5.8,medium,industrial,1,3,14
Garbage has been left in an open place and is spreading around. People are having to walk around the garbage.,garbage,7.5,high,hospital,2,1,20
"Landslide warning sign covered by posters near a market, night drivers cannot see the hazard.",road_damaged_sign,9.0,critical,market,6,0,15
There are potholes on the street and motorcycles are struggling to pass. Drivers are starting to avoid the spot.,pothole,5.0,medium,residential,5,3,19
"School-zone sign cracked with a loose edge on a highway, vehicles are braking when people enter the road.",road_damaged_sign,7.5,high,highway,6,1,18
A broken concrete barrier has fallen partly onto the road and is creating a traffic hazard near the hospital entrance.,infrastructure,7.5,high,hospital,4,1,20
"Drainage completely blocked for 3 days, raw sewage overflowing onto the street, health hazard for everyone",drainage,9.5,critical,residential,1,0,16
"Market drain leaking near a hospital after recent rain, dirty water is crossing the entrance.",drainage,9.0,critical,hospital,1,0,15
Household waste has been left outside for several days. The area becomes dirty after the waste is left outside.,garbage,5.0,medium,residential,2,3,19
"School buses left near an industrial gate since yesterday, large vehicles have little turning space.",illegal_parking,7.0,high,industrial,3,1,15
"Pickup vehicles left over a zebra crossing since yesterday, pedestrians are walking into traffic.",illegal_parking,8.0,high,public,3,1,14
"Highway drain overflowing with sewage, residents face a serious health risk.",drainage,9.5,critical,residential,1,0,11
"Road divider covered with illegal advertising on a highway, the damage may worsen without repair.",vandalism,5.0,medium,highway,8,3,15
"Several paving blocks are loose and uneven near the school entrance, making the walkway unsafe, near the community area.",infrastructure,3.0,low,public,4,2,19
"Covered drain breeding mosquitoes, the area has an increased disease risk.",drainage,7.5,high,residential,1,1,11
Rubbish piled up beside the walkway near homes.,trash,3.5,low,residential,7,2,8
"Narrow-bridge sign blocked by a vendor board near a market, motorcycles are braking suddenly.",road_damaged_sign,8.5,high,market,6,1,14
There is waste scattered near the roadside and it needs to be collected. The collection vehicle has not come recently.,garbage,5.5,medium,market,2,3,20
"Public wall scraped across the surface near a school, residents have requested cleaning.",vandalism,4.5,medium,school,8,3,13
A pothole is getting larger after rain. It is difficult to see at night.,pothole,5.0,medium,school,5,3,14
दिशा सूचक बोर्ड राजमार्ग बाट हराएर चालकहरू भ्रमित भइरहेका छन्। सरकारले चाँडै हेर्नुपर्यो।,road_damaged_sign,8.5,high,highway,6,1,13
A section of the footpath has sunk below the surrounding surface and is difficult to walk across safely beside the school boundary.,infrastructure,4.5,medium,school,4,3,22
Food containers scattered near the shops at the hospital.,trash,3.5,low,hospital,7,2,9
"Storm-water drain giving off a strong smell, nearby residents cannot open windows.",drainage,5.0,medium,residential,1,3,12
"School-side drain giving off a strong smell since yesterday, nearby residents cannot open windows.",drainage,5.0,medium,residential,1,3,14
Household waste has been left outside for several days. It has been there since yesterday.,garbage,8.0,high,market,2,1,15
ट्राफिक साइन बोर्ड विद्यालय मा बाङ्गिएर देख्न गाह्रो भएको छ। नयाँ साइन राख्नुपर्यो।,road_damaged_sign,9.0,critical,school,6,0,13
"Public water tap damaged with permanent marker in a public area, the damage may worsen without repair.",vandalism,5.0,medium,public,8,3,17
"Food waste and plastic packaging are scattered around the neighborhood after garbage bags were damaged, along the neighborhood road.",domestic_trash,3.5,low,residential,0,2,19
"Narrow-bridge sign bent away from traffic near a market, night drivers cannot see the hazard.",road_damaged_sign,9.0,critical,market,6,0,15
"Health-post wall covered with spray-painted tags near an industrial road, patients cannot read the service details.",vandalism,5.5,medium,industrial,8,3,16
"Several bags of household rubbish are blocking part of the footpath outside a row of homes, near the main road junction.",domestic_trash,8.5,high,highway,0,1,21
"Hospital access drain filled with mud after rain since yesterday, water is entering nearby shops.",drainage,8.0,high,market,1,1,15
There is a hole near the edge of the road where motorcycles pass. Several vehicles are being affected while passing.,pothole,8.5,high,residential,5,1,20
"Cars parked fully on the footpath since yesterday, pedestrians are forced onto the road.",illegal_parking,7.0,high,residential,3,1,14
"Private cars left over a zebra crossing, pedestrians are walking into traffic.",illegal_parking,8.5,high,public,3,1,12
"School boundary wall left with its notice torn down near an industrial road, the school safety notice is unreadable.",vandalism,7.0,high,industrial,8,1,19
"Deep potholes damaging the road surface, near homes.",infrastructure,6.0,medium,residential,4,3,8
"Bus shelter covered with pasted flyers near a market, the markings are small but visible.",vandalism,3.0,low,market,8,2,15
पुलको संरचना कमजोर भएर आवासीय क्षेत्र बाट हिँड्न खतरा भएको छ। छिटो मर्मत गर्नुपर्यो।,infrastructure,6.1,high,residential,4,1,14
ट्राफिक साइन बोर्ड औद्योगिक क्षेत्र मा बाङ्गिएर देख्न गाह्रो भएको छ। सरकारले चाँडै हेर्नुपर्यो।,road_damaged_sign,5.4,medium,industrial,6,3,14
"Several paving blocks are loose and uneven near the school entrance, making the walkway unsafe, along the commercial street.",infrastructure,3.5,low,commercial,4,2,19
"Main sewer line giving off a strong smell, nearby residents cannot open windows.",drainage,5.0,medium,residential,1,3,13
"Animal-crossing sign turned toward the wrong road in a public area, drivers are not warned about livestock.",road_damaged_sign,7.5,high,public,6,1,17
"Food waste dumped beside the road, on the industrial road.",domestic_trash,8.5,high,industrial,0,1,10
"Road divider damaged with permanent marker on a highway, the public facility is unsafe to use.",vandalism,6.5,high,highway,8,1,16
"School boundary wall left with broken tiles near an industrial road, children can see inappropriate language.",vandalism,6.5,high,industrial,8,1,16
"Culvert covered by construction debris, water cannot reach the outlet.",drainage,5.5,medium,industrial,1,3,10
Fohor ko bag haru bato tira chhariyeko cha. Manche haru lai dherai problem bhako cha.,garbage,7.0,high,residential,2,1,15
Wind has scattered plastic waste and paper across the area around an overflowing public bin beside nearby shops.,trash,4.5,medium,commercial,7,3,18
Loose paving blocks near the entrance near the road junction.,infrastructure,2.5,low,highway,4,2,10
"Stop sign knocked down on a residential road, drivers are taking wrong turns and causing traffic.",road_damaged_sign,6.0,medium,residential,6,3,16
"Vehicles parked illegally on both sides of the narrow road, completely blocking emergency vehicle access",illegal_parking,9.0,critical,hospital,3,0,15
The public bin is full and people are putting bags beside it. The garbage is increasing day by day.,garbage,2.0,low,hospital,2,2,19
"Roadside drain blocked with plastic waste since yesterday, rainwater is flooding the road.",drainage,7.5,high,residential,1,1,13
"Trucks blocking a hospital entrance, ambulances are delayed.",illegal_parking,9.5,critical,hospital,3,0,8
"Roadside drain partly blocked by leaves since yesterday, water drains slowly during rain.",drainage,4.5,medium,public,1,3,13
"Community drain covered by construction debris, water cannot reach the outlet.",drainage,6.0,medium,industrial,1,3,11
"Roadside drain blocked with plastic waste, rainwater is flooding the road.",drainage,7.5,high,residential,1,1,11
"Landslide warning sign faded and unreadable near a market, drivers are approaching the hazard too quickly.",road_damaged_sign,7.5,high,market,6,1,16
"Park signboard badly scratched near a school, part of the public notice cannot be read.",vandalism,6.0,medium,school,8,3,15
"Footbridge railing covered with spray-painted tags on a residential road, the damage may worsen without repair.",vandalism,5.0,medium,residential,8,3,16
A broken curb has created a large gap that forces pedestrians to step closer to moving traffic near the warehouse area.,infrastructure,4.0,medium,industrial,4,3,21
The road has started breaking around the pothole. The damaged section is affecting normal traffic.,pothole,6.5,high,market,5,1,15
घरायसी फोहोर ओभरफ्लो भएर व्यापारिक क्षेत्र को फुटपाथसम्म पुगेको छ। मानिसहरूलाई धेरै समस्या भएको छ।,domestic_trash,5.7,medium,commercial,0,3,15
Garbage is piling up near the footpath and making it difficult to pass. The waste is making the area unpleasant.,garbage,9.0,critical,hospital,2,0,20
"Industrial drain blocked with plastic waste after recent rain, rainwater is flooding the road.",drainage,8.5,high,residential,1,1,14
There are potholes on the street and motorcycles are struggling to pass. Rainwater is collecting in the hole.,pothole,9.5,critical,market,5,0,18
A pothole is making the road difficult to use at night. It is on a road used by many people.,pothole,9.5,critical,school,5,0,20
"Mixed litter blocking the footpath, near the community area.",trash,3.5,low,public,7,2,9
"Sharp-bend sign blocked by a vendor board in a public area, motorcycles are braking suddenly.",road_damaged_sign,8.5,high,public,6,1,15
"Cars left over a zebra crossing in Kathmandu since yesterday, pedestrians are walking into traffic.",illegal_parking,7.5,high,public,3,1,15
"Junction sign fallen into a drain near an industrial road, vehicles are entering from conflicting directions.",road_damaged_sign,8.5,high,industrial,6,1,16
Plastic bottles scattered near the road at the factory.,trash,6.5,medium,industrial,7,3,9
"Highway drain collapsed beside the road, pedestrians could fall into the opening.",drainage,9.0,critical,public,1,0,12
"भित्तामा अभद्र शब्दहरू व्यापारिक क्षेत्र मा लेखिएको छ, बच्चाहरूले देख्छन्। सरकारले चाँडै हेर्नुपर्यो।",vandalism,5.6,medium,commercial,8,3,13
"Footpath drain blocked with plastic waste, rainwater is flooding the road.",drainage,8.5,high,residential,1,1,11
The road surface is broken and there is a pothole in the middle. It is on a road used by many people.,pothole,8.5,high,school,5,1,22
Waste is collecting near the drain and blocking the water flow. Stray animals are spreading the waste around the street.,garbage,8.0,high,hospital,2,1,20
सार्वजनिक पर्खाल सार्वजनिक स्थान मा तोडफोड भएको छ। सरकारले चाँडै हेर्नुपर्यो।,vandalism,3.7,low,public,8,2,11
"Footpath drain filled with mud after rain, water is entering nearby shops.",drainage,8.0,high,market,1,1,12
घरको फोहोरको बोरा अस्पताल को बाटोमा छरिएको छ। बाटो र क्षेत्र फोहोर भइरहेको छ।,domestic_trash,8.9,critical,hospital,0,0,14
There is waste scattered near the roadside and it needs to be collected. There are food leftovers mixed with plastic.,garbage,2.0,low,market,2,2,20
"Public wall badly scratched near a school, residents have requested cleaning.",vandalism,4.5,medium,school,8,3,11
"Bus shelter covered with illegal advertising near a market, the markings are small but visible.",vandalism,2.5,low,market,8,2,15
सिग्नल बोर्ड बजार मा पुरानो भएर मानिसहरूले देख्न सक्दैनन्। मानिसहरूलाई धेरै खतरा भएको छ।,road_damaged_sign,7.9,high,market,6,1,14
"Heritage rest house covered with political slogans near a hospital, visitors have complained about disrespect.",vandalism,6.5,high,hospital,8,1,15
वर्षापछि सार्वजनिक स्थान को नाला भरि पानी भरिएर बाटोमा फैलिएको छ। सरकारले चाँडै हेर्नुपर्यो।,drainage,3.0,low,public,1,2,14
"Cross-road drain leaking near a hospital after recent rain, dirty water is crossing the entrance.",drainage,8.0,high,hospital,1,1,15
Collapsed drain leaving an open gap on the highway.,infrastructure,2.5,low,highway,4,2,9
"Temple wall scraped across the surface on a highway, the culturally important surface is damaged.",vandalism,8.0,high,highway,8,1,15
"Tourist vans blocking a residential driveway, residents cannot move their vehicles.",illegal_parking,5.0,medium,residential,3,3,11
"Domestic waste is overflowing from a collection area and spreading into the nearby residential road, along the highway shoulder.",domestic_trash,9.0,high,highway,0,1,19
Wind has scattered plastic waste and paper across the area around an overflowing public bin along the commercial street.,trash,9.5,high,commercial,7,1,19
There are several damaged spots and potholes along the street. The damaged section is affecting normal traffic.,pothole,7.5,high,hospital,5,1,17
"Bus-stop sign cracked with a loose edge in a commercial area, people cannot identify the correct bus stop.",road_damaged_sign,4.0,low,commercial,6,2,18
