description,category,urgency_score,urgency_level,location_type,category_label,urgency_label
"Narrow-bridge sign covered by posters near a market, night drivers cannot see the hazard.",road_damaged_sign,8.5,high,market,6,1
A deep hole has formed in the public walkway and is difficult to notice during low-light conditions outside several houses.,infrastructure,5.0,medium,residential,4,3
Public waste left beside the road near shops.,trash,2.5,low,commercial,7,2
"Open drain blocked with plastic waste since yesterday, rainwater is flooding the road.",drainage,7.5,high,residential,1,1
The garbage pickup has been irregular and waste is staying outside. It has been there for several days.,garbage,9.0,critical,market,2,0
Household rubbish blocking the pavement at the hospital.,domestic_trash,6.0,medium,hospital,0,3
"Private cars left beside a no-parking sign after recent rain, traffic is moving slowly.",illegal_parking,5.0,medium,commercial,3,3
"Uncollected household waste is producing a bad smell and causing complaints from nearby residents, beside the factory service route.",domestic_trash,5.5,medium,industrial,0,3
"Road divider damaged with permanent marker on a highway, the damage may worsen without repair.",vandalism,4.0,low,highway,8,2
"Food waste and plastic packaging are scattered around the neighborhood after garbage bags were damaged, outside several houses.",domestic_trash,4.0,medium,residential,0,3
"A broken curb has created a large gap that forces pedestrians to step closer to moving traffic, along the student walkway.",infrastructure,6.0,medium,school,4,3
Food waste and plastic packaging are scattered around the neighborhood after garbage bags were damaged beside the factory service route.,domestic_trash,4.0,medium,industrial,0,3
The pothole is filled with rainwater and its depth is hard to see. Rainwater is collecting in the hole.,pothole,8.5,high,hospital,5,1
Collapsed drain leaving an open gap near the factory.,infrastructure,6.0,medium,industrial,4,3
"Pedestrian-crossing sign blocked by a vendor board near an industrial road, pedestrians cannot find the crossing point.",road_damaged_sign,7.5,high,industrial,6,1
There is rubbish around the road and it needs cleaning. Dogs are opening the bags and spreading the waste.,garbage,5.5,medium,residential,2,3
"Cars blocking a residential driveway after recent rain, residents cannot move their vehicles.",illegal_parking,5.5,medium,residential,3,3
"Sharp-bend sign bent away from traffic in a public area, drivers are approaching the hazard too quickly.",road_damaged_sign,8.0,high,public,6,1
"Speed-limit sign painted over in a commercial area, motorcycles are braking near the barriers.",road_damaged_sign,8.0,high,commercial,6,1
Food waste is scattered around because dogs are tearing the bags. It has been there for several days.,garbage,8.0,high,market,2,1
There is waste scattered near the roadside and it needs to be collected. The waste is creating a serious health and safety concern.,garbage,9.5,critical,residential,2,0
"Public notice board damaged with permanent marker in a commercial area, emergency contact details are blocked.",vandalism,8.0,high,commercial,8,1
There is waste scattered near the roadside and it needs to be collected. People are having to walk around the garbage.,garbage,3.0,low,market,2,2
"Mixed litter blocking the footpath, in the business area.",trash,5.0,medium,commercial,7,3
"Culvert blocked on the highway, waterlogging is slowing heavy traffic.",drainage,7.5,high,highway,1,1
Household garbage has accumulated near the entrance of several houses and is becoming difficult to manage near the shopping area.,domestic_trash,4.5,medium,commercial,0,3
The street is dirty because garbage has not been collected. Flies are gathering around the waste.,garbage,3.5,low,school,2,2
"Community drain blocked on the highway since yesterday, waterlogging is slowing heavy traffic.",drainage,8.0,high,highway,1,1
Household waste has been left outside for several days. The waste is close to the walking path.,garbage,9.0,critical,market,2,0
"Pedestrian underpass badly scratched on a residential road, residents have requested cleaning.",vandalism,4.5,medium,residential,8,3
"Ward-office gate damaged with permanent marker near a hospital, part of the public notice cannot be read.",vandalism,6.5,high,hospital,8,1
There is a pile of household waste beside the road. The waste is causing water to overflow around the road.,garbage,9.5,critical,school,2,0
"No-entry sign bent away from traffic near a hospital, vehicles are entering from conflicting directions.",road_damaged_sign,9.0,critical,hospital,6,0
गाडीहरू राजमार्ग को दुबै साइडमा गैरकानूनी पार्किङ गरेका छन्। मानिसहरूलाई धेरै समस्या भएको छ।,illegal_parking,8.4,high,highway,3,1
"Mixed litter blocking the footpath, near the school.",trash,3.5,low,school,7,2
"Cars parked at a busy junction since yesterday, drivers cannot see approaching vehicles.",illegal_parking,8.5,high,market,3,1
पुलको संरचना कमजोर भएर सार्वजनिक स्थान बाट हिँड्न खतरा भएको छ। छिटो मर्मत गर्नुपर्यो।,infrastructure,5.3,low,public,4,2
A hole in the road is causing vehicles to shake while passing. Drivers have to brake suddenly when they notice it.,pothole,7.0,high,school,5,1
"Loose paving blocks near the entrance, on the industrial road.",infrastructure,9.0,high,industrial,4,1
Yo khadal le bike chalauna garo bhako cha. Gadi haru lai problem bhairako cha.,pothole,7.5,high,school,5,1
Khadal ma pani bhareko le kati deep cha thaha hudaina. Gadi haru lai problem bhairako cha.,pothole,8.5,high,hospital,5,1
A deep hole has formed in the public walkway and is difficult to notice during low-light conditions near the hospital entrance.,infrastructure,3.5,low,hospital,4,2
Plastic bags and food waste are spread around the area. The garbage is increasing day by day.,garbage,2.5,low,school,2,2
ट्राफिक साइन बोर्ड अस्पताल मा बाङ्गिएर देख्न गाह्रो भएको छ। सरकारले चाँडै हेर्नुपर्यो।,road_damaged_sign,8.6,critical,hospital,6,0
"Motorcycles blocking a market loading area, deliveries and shoppers are delayed.",illegal_parking,6.5,high,market,3,1
"Motorcycles parked at a busy junction after recent rain, drivers cannot see approaching vehicles.",illegal_parking,9.0,critical,market,3,0
"Cracked pavement creating a trip hazard, at the school entrance.",infrastructure,8.0,high,school,4,1
The road surface has broken away and left a hole. Drivers can see it clearly during the day.,pothole,3.0,low,hospital,5,2
"School-side drain collapsed beside the road after recent rain, pedestrians could fall into the opening.",drainage,8.0,high,public,1,1
"Open drain damaged near a commercial area since yesterday, wastewater is spreading on the footpath.",drainage,7.5,high,commercial,1,1
Rubbish piled up beside the walkway on the residential lane.,trash,6.5,medium,residential,7,3
"Footbridge railing left with broken tiles on a residential road, the damage may worsen without repair.",vandalism,5.0,medium,residential,8,3
प्लास्टिक र कागजको फोहोर बतासले उडेर राजमार्ग तिर फैलिएको छ। मानिसहरूलाई धेरै समस्या भएको छ।,trash,7.8,high,highway,7,1
Waste is blocking part of the footpath. Flies are gathering around the waste.,garbage,9.0,critical,market,2,0
"Tourist vans left near an industrial gate, large vehicles have little turning space.",illegal_parking,6.5,high,industrial,3,1
The road has a large uneven section caused by a pothole. Drivers are starting to avoid the spot.,pothole,5.0,medium,residential,5,3
"Private cars blocking a market loading area, deliveries and shoppers are delayed.",illegal_parking,5.5,medium,market,3,3
पुलको संरचना कमजोर भएर व्यापारिक क्षेत्र बाट हिँड्न खतरा भएको छ। मानिसहरूलाई धेरै खतरा भएको छ।,infrastructure,6.7,medium,commercial,4,3
There is a pile of household waste beside the road. The waste is burning and smoke is spreading around the area.,garbage,9.0,critical,school,2,0
घरको फोहोरको बोरा राजमार्ग को बाटोमा छरिएको छ। छिटो फोहोर उठाइदिनुपर्यो।,domestic_trash,8.3,high,highway,0,1
"Public toilet covered with illegal advertising in a public area, the same place was damaged repeatedly.",vandalism,6.5,high,public,8,1
"Culvert blocked with plastic waste, rainwater is flooding the road.",drainage,8.5,high,residential,1,1
"Pickup vehicles blocking a public bus stop, buses are stopping in the traffic lane.",illegal_parking,6.5,high,commercial,3,1
The road surface has broken away and left a hole. Several motorcycles are avoiding the same spot.,pothole,7.5,high,market,5,1
"School-side drain breeding mosquitoes, the area has an increased disease risk.",drainage,7.0,high,residential,1,1
"Broken barrier blocking part of the road, on the residential lane.",infrastructure,4.0,medium,residential,4,3
"School buses parked along a highway shoulder, fast traffic is swerving around them.",illegal_parking,7.5,high,highway,3,1
"Tourist vans parked across a school gate after recent rain, children are entering through traffic.",illegal_parking,7.5,high,school,3,1
The waste area is attracting flies and has a strong smell. It has been there for several days.,garbage,8.0,high,school,2,1
The garbage pickup has been irregular and waste is staying outside. People are avoiding that part of the street.,garbage,8.5,high,residential,2,1
The road has a damaged patch with a noticeable hole. It is difficult to see at night.,pothole,5.5,medium,residential,5,3
Public waste has accumulated beside the entrance and is creating an unpleasant smell for visitors beside the public access route.,trash,4.0,medium,public,7,3
Loose litter is spreading around an overflowing bin and making the public area difficult to keep clean beside the factory service route.,trash,8.0,high,industrial,7,1
A hole has formed in the road and it is difficult for vehicles to pass. Motorcycles are at risk of losing balance near the hole.,pothole,7.0,high,residential,5,1
"Microbuses parked at a busy junction in Dhangadhi after recent rain, drivers cannot see approaching vehicles.",illegal_parking,8.5,high,market,3,1
A hole has formed in the road and it is difficult for vehicles to pass. It is not affecting the normal movement of vehicles.,pothole,3.0,low,hospital,5,2
"A manhole cover is loose and uneven, creating a dangerous hazard for pedestrians and cyclists near the community area.",infrastructure,9.0,high,public,4,1
"Tourist vans parked fully on the footpath, pedestrians are forced onto the road.",illegal_parking,8.0,high,residential,3,1
Plastic bags and food waste are spread around the area. Residents are asking for the waste to be picked up.,garbage,7.0,high,hospital,2,1
The road surface is broken and there is a pothole in the middle. The broken area is getting wider.,pothole,9.0,critical,residential,5,0
"Public water tap defaced with large drawings in a public area, sharp parts are exposed beside pedestrians.",vandalism,8.0,high,public,8,1
"Food containers scattered near the shops, on the market street.",trash,4.5,medium,commercial,7,3
"Parking restriction sign missing from its pole near a hospital, parked cars are blocking junction visibility.",road_damaged_sign,8.5,high,hospital,6,1
"Community drain breeding mosquitoes, the area has an increased disease risk.",drainage,6.5,high,residential,1,1
"Garbage bags torn open by dogs, outside houses.",domestic_trash,4.5,medium,residential,0,3
"पानी जम्मा भएर व्यापारिक क्षेत्र को बाटो डुब्न थाल्यो, गाडीहरू अड्किएका छन्। छिटो मर्मत गर्नुपर्यो।",drainage,4.7,medium,commercial,1,3
Public waste has accumulated beside the entrance and is creating an unpleasant smell for visitors.,trash,7.0,high,public,7,1
"Cross-road drain partly blocked by leaves, water drains slowly during rain.",drainage,5.0,medium,public,1,3
"Plastic bags and disposable containers are scattered around the school boundary after the bin overflowed, beside the school boundary.",trash,9.0,high,school,7,1
Yo khadal le bike chalauna garo bhako cha. Bato banaidina paryo.,pothole,5.0,medium,school,5,3
"Pothole near the school, children falling while crossing, parents very worried",pothole,9.0,critical,school,5,0
"Loose domestic rubbish has been blown across the street and into the drainage area after strong wind, near the warehouse area.",domestic_trash,6.5,medium,industrial,0,3
"Ward-office gate covered with pasted flyers near a hospital, emergency contact details are blocked.",vandalism,8.0,high,hospital,8,1
The road has a damaged patch with a noticeable hole. It is on a road used by many people.,pothole,8.5,high,residential,5,1
"Pickup vehicles left beside a no-parking sign after recent rain, traffic is moving slowly.",illegal_parking,6.0,medium,commercial,3,3
"Several bags of household rubbish are blocking part of the footpath outside a row of homes, outside several houses.",domestic_trash,9.0,high,residential,0,1
"Roadwork sign knocked down on a highway, motorcycles are braking near the barriers.",road_damaged_sign,7.5,high,highway,6,1
"Parking restriction sign fallen into a drain near a hospital, parked vehicles are narrowing the road.",road_damaged_sign,7.0,high,hospital,6,1
"Footpath drain damaged near a commercial area since yesterday, wastewater is spreading on the footpath.",drainage,7.0,high,commercial,1,1
"Cars parked along a highway shoulder, fast traffic is swerving around them.",illegal_parking,7.5,high,highway,3,1
A section of the footpath has sunk below the surrounding surface and is difficult to walk across safely beside the hospital walkway.,infrastructure,6.5,medium,hospital,4,3
"Storm-water drain collapsed beside the road after recent rain, pedestrians could fall into the opening.",drainage,8.0,high,public,1,1
"Public bin overflowing onto the pavement, near the school.",trash,4.0,medium,school,7,3
"Parking restriction sign bent away from traffic in Dharan, parked vehicles are narrowing the road.",road_damaged_sign,6.0,medium,hospital,6,3
Plastic bags and disposable containers are scattered around the school boundary after the bin overflowed near the warehouse area.,trash,4.0,medium,industrial,7,3
"Community hall left with its notice torn down in a commercial area, residents have requested cleaning.",vandalism,4.0,low,commercial,8,2
Deep potholes damaging the road surface on the public road.,infrastructure,3.0,low,public,4,2
"One-way sign faded and unreadable near a school, drivers are taking wrong turns and causing traffic.",road_damaged_sign,7.0,high,school,6,1
"Household waste left outside homes, on the public walkway.",domestic_trash,4.5,medium,public,0,3
"Roadwork sign bent away from traffic on a highway, vehicles are entering the work area too fast.",road_damaged_sign,9.0,critical,highway,6,0
The road has a deep hole that drivers need to avoid. It is becoming harder to pass during rain.,pothole,5.0,medium,hospital,5,3
"Construction vehicles parked at a busy junction since yesterday, drivers cannot see approaching vehicles.",illegal_parking,9.0,critical,market,3,0
Loose litter is spreading around an overflowing bin and making the public area difficult to keep clean near nearby homes.,trash,2.5,low,residential,7,2
"Main sewer line partly blocked by leaves since yesterday, water drains slowly during rain.",drainage,5.0,medium,public,1,3
Discarded bottles and takeaway containers are blocking part of the pedestrian path beside nearby shops.,trash,5.5,medium,commercial,7,3
"Pedestrian underpass left with broken tiles on a residential road, residents have requested cleaning.",vandalism,3.5,low,residential,8,2
"Discarded household waste is scattered around the neighborhood and creating a visible sanitation problem, along the highway shoulder.",domestic_trash,5.5,medium,highway,0,3
"Discarded bottles and takeaway containers are blocking part of the pedestrian path, near the main road junction.",trash,5.0,medium,highway,7,3
Household waste has been left outside for several days. The garbage is blocking access through the area.,garbage,9.5,critical,market,2,0
"School-zone sign missing from its pole in Bharatpur, children are crossing without warning.",road_damaged_sign,9.0,critical,highway,6,0
Plastic bottles scattered near the road near homes.,trash,6.5,medium,residential,7,3
A pothole has appeared after the recent rain. Cars are moving around it to avoid the hole.,pothole,5.5,medium,school,5,3
"Trucks left near an industrial gate, large vehicles have little turning space.",illegal_parking,7.0,high,industrial,3,1
"Cars parked on both sides of a narrow road in Kathmandu, emergency vehicles cannot pass.",illegal_parking,8.5,high,hospital,3,1
Garbage bags are broken and the waste is spread across the sidewalk. The smell is noticeable around the area.,garbage,5.5,medium,market,2,3
The public bin is full and people are putting bags beside it. Rain is washing some of the waste onto the road.,garbage,9.0,critical,hospital,2,0
Several holes are visible on the road surface. Vehicles need to slow down at that point.,pothole,5.5,medium,hospital,5,3
"Tourist vans left over a zebra crossing in Hetauda after recent rain, pedestrians are walking into traffic.",illegal_parking,8.5,high,public,3,1
"Trash bags scattered on the street, near the warehouse.",domestic_trash,8.0,high,industrial,0,1
"School boundary wall damaged with permanent marker near an industrial road, the school safety notice is unreadable.",vandalism,6.5,high,industrial,8,1
"Microbuses left beside a no-parking sign since yesterday, traffic is moving slowly.",illegal_parking,5.5,medium,commercial,3,3
"Stop sign knocked down in Kathmandu, vehicles are entering from conflicting directions.",road_damaged_sign,8.5,high,residential,6,1
Garbage has been left in an open place and is spreading around. The waste is spreading after people pass by.,garbage,8.5,high,school,2,1
"Roadside drain filled with mud after rain after recent rain, water is entering nearby shops.",drainage,7.0,high,market,1,1
"Cross-road drain blocked with plastic waste, rainwater is flooding the road.",drainage,8.0,high,residential,1,1
There is a pothole where water collects after rain. People are asking for the road to be repaired.,pothole,5.5,medium,school,5,3
A hole has formed in the road and it is difficult for vehicles to pass. It is on a road used by many people.,pothole,9.5,critical,market,5,0
"Private cars left beside a no-parking sign, traffic is moving slowly.",illegal_parking,5.0,medium,commercial,3,3
"Mixed litter blocking the footpath, at the school entrance.",trash,8.0,high,school,7,1
"Roadwork sign missing from its pole on a highway, vehicles are entering the work area too fast.",road_damaged_sign,8.5,high,highway,6,1
"Government vehicles left over a zebra crossing since yesterday, pedestrians are walking into traffic.",illegal_parking,8.5,high,public,3,1
Rubbish piled up beside the walkway at the hospital entrance.,trash,7.0,high,hospital,7,1
"Heritage rest house covered with pasted flyers near a hospital, the culturally important surface is damaged.",vandalism,8.0,high,hospital,8,1
Household rubbish blocking the pavement at the industrial road.,domestic_trash,2.5,low,industrial,0,2
There is a pothole on the road and vehicles have to slow down. Several vehicles are being affected while passing.,pothole,6.5,high,school,5,1
"Ward-office gate scraped across the surface near a hospital, emergency contact details are blocked.",vandalism,8.0,high,hospital,8,1
Rubbish piled up beside the walkway near the community area.,trash,6.5,medium,public,7,3
"Cross-road drain overflowing near a school after recent rain, children are walking through dirty water.",drainage,8.0,high,school,1,1
Household waste has been left beside the road for several days and is attracting insects and stray animals beside the factory service route.,domestic_trash,9.5,high,industrial,0,1
"Large pothole at the T-junction, drivers unable to see it at night, very dangerous",pothole,8.5,high,residential,5,1
People are throwing waste in the open area and the pile is getting bigger. The collection vehicle has not come recently.,garbage,8.5,high,residential,2,1
"Speed-limit sign hanging from one bolt in a commercial area, motorcycles are braking near the barriers.",road_damaged_sign,7.5,high,commercial,6,1
"The highway shoulder is badly damaged and contains loose concrete pieces that could affect traffic, beside the factory service route.",infrastructure,6.0,medium,industrial,4,3
"Cross-road drain leaking near a hospital since yesterday, dirty water is crossing the entrance.",drainage,8.0,high,hospital,1,1
"Household waste left outside homes, beside the hospital.",domestic_trash,5.5,medium,hospital,0,3
"Stop sign missing from its pole in Kathmandu, traffic slows while drivers confirm the route.",road_damaged_sign,4.0,low,residential,6,2
सार्वजनिक पर्खाल औद्योगिक क्षेत्र मा तोडफोड भएको छ। जिम्मेवार मानिस पत्ता लगाउनुपर्यो।,vandalism,3.5,medium,industrial,8,3
"Cargo vans left near an industrial gate, large vehicles have little turning space.",illegal_parking,6.0,medium,industrial,3,3
"Cracked pavement creating a trip hazard, near the school.",infrastructure,4.0,medium,school,4,3
"Public gutter overflowing with sewage, residents face a serious health risk.",drainage,9.5,critical,residential,1,0
"Government vehicles parked on both sides of a narrow road, emergency vehicles cannot pass.",illegal_parking,9.5,critical,hospital,3,0
"Pickup vehicles left beside a no-parking sign, traffic is moving slowly.",illegal_parking,6.0,medium,commercial,3,3
Household trash bags are scattered across the residential street after being torn open by stray dogs near the school entrance.,domestic_trash,7.5,high,school,0,1
"Pedestrian-crossing sign missing from its pole near an industrial road, pedestrians cannot find the crossing point.",road_damaged_sign,7.0,high,industrial,6,1
Garbage is lying on the street and people are walking around it. The garbage is increasing day by day.,garbage,6.5,high,market,2,1
A waste collection point is overflowing and loose rubbish is spreading into the nearby road near the community area.,trash,7.5,high,public,7,1
There is rubbish around the road and it needs cleaning. It has been there for several days.,garbage,5.0,medium,school,2,3
A pothole is causing buses and cars to slow down. Motorcycles are slowing down at that point.,pothole,7.0,high,school,5,1
"Industrial drain blocked on the highway, waterlogging is slowing heavy traffic.",drainage,7.5,high,highway,1,1
"Road divider covered with political slogans on a highway, sharp parts are exposed beside pedestrians.",vandalism,8.5,high,highway,8,1
Household waste has been left beside the road for several days and is attracting insects and stray animals near the hospital entrance.,domestic_trash,6.0,medium,hospital,0,3
"Culvert blocked on the highway since yesterday, waterlogging is slowing heavy traffic.",drainage,7.5,high,highway,1,1
"Health-post wall covered with spray-painted tags near an industrial road, visitors cannot identify the correct entrance.",vandalism,6.0,medium,industrial,8,3
A broken concrete barrier has fallen partly onto the road and is creating a traffic hazard beside the school boundary.,infrastructure,8.5,high,school,4,1
"Household garbage has accumulated near the entrance of several houses and is becoming difficult to manage, along the industrial access road.",domestic_trash,5.0,medium,industrial,0,3
A broken concrete barrier has fallen partly onto the road and is creating a traffic hazard along the student walkway.,infrastructure,9.8,high,school,4,1
"Government vehicles blocking a residential driveway since yesterday, residents cannot move their vehicles.",illegal_parking,5.0,medium,residential,3,3
"Pedestrian underpass damaged with permanent marker on a residential road, the markings are small but visible.",vandalism,3.5,low,residential,8,2
सिग्नल बोर्ड अस्पताल मा पुरानो भएर मानिसहरूले देख्न सक्दैनन्। छिटो मर्मत गर्नुपर्यो।,road_damaged_sign,9.0,critical,hospital,6,0
"Minibuses parked across a school gate since yesterday, children are entering through traffic.",illegal_parking,7.5,high,school,3,1
The road has a damaged patch with a noticeable hole. The hole is creating a serious risk for people using the road.,pothole,9.0,critical,market,5,0
"Several sections of the road edge have collapsed, leaving an unsafe drop beside the main route, near the shopping area.",infrastructure,7.0,high,commercial,4,1
The pothole is making it uncomfortable for people riding motorcycles. The hole is making the road uncomfortable to use.,pothole,7.5,high,school,5,1
"Cargo vans parked on both sides of a narrow road after recent rain, emergency vehicles cannot pass.",illegal_parking,9.0,critical,hospital,3,0
"Taxis blocking a market loading area since yesterday, deliveries and shoppers are delayed.",illegal_parking,5.5,medium,market,3,3
Uncollected household waste is producing a bad smell and causing complaints from nearby residents beside the factory service route.,domestic_trash,6.0,medium,industrial,0,3
"Heritage rest house covered with illegal advertising near a hospital, the culturally important surface is damaged.",vandalism,7.5,high,hospital,8,1
"Deep potholes damaging the road surface, near the warehouse.",infrastructure,7.5,high,industrial,4,1
The road has a deep hole that drivers need to avoid. Buses are slowing down near the damaged section.,pothole,9.0,critical,residential,5,0
"Public toilet marked with offensive words in a public area, the same place was damaged repeatedly.",vandalism,6.5,high,public,8,1
A pothole is getting larger after rain. Vehicles are swerving to avoid the hole.,pothole,7.0,high,hospital,5,1
"Taxis left beside a no-parking sign, traffic is moving slowly.",illegal_parking,5.0,medium,commercial,3,3
"School boundary wall covered with spray-painted tags near an industrial road, damage is visible from the school gate.",vandalism,5.5,medium,industrial,8,3
म्यानहोलको ढक्कन फुटेर राजमार्ग को बाटोमा ठूलो खाल्डो भएको छ। मर्मत सम्भार आवश्यक छ।,infrastructure,7.9,high,highway,4,1
"Residential drain filled with mud after rain since yesterday, water is entering nearby shops.",drainage,7.5,high,market,1,1
The waste area is attracting flies and has a strong smell. There are food leftovers mixed with plastic.,garbage,9.0,critical,market,2,0
"One-way sign cracked with a loose edge near a school, vehicles are entering from conflicting directions.",road_damaged_sign,9.5,critical,school,6,0
"Narrow-bridge sign hidden by branches near a market, motorcycles are braking suddenly.",road_damaged_sign,8.0,high,market,6,1
"Cars parked across a school gate since yesterday, children are entering through traffic.",illegal_parking,8.0,high,school,3,1
A section of concrete near the hospital entrance has broken apart and is obstructing pedestrian access.,infrastructure,8.0,high,school,4,1
"Public notice board defaced with large drawings in a commercial area, part of the public notice cannot be read.",vandalism,5.5,medium,commercial,8,3
"Rental cars blocking a market loading area since yesterday, deliveries and shoppers are delayed.",illegal_parking,6.0,medium,market,3,3
"Animal-crossing sign missing from its pole in Birgunj, drivers are not warned about livestock.",road_damaged_sign,7.0,high,public,6,1
"Culvert covered by construction debris after recent rain, water cannot reach the outlet.",drainage,5.5,medium,industrial,1,3
The road has a large uneven section caused by a pothole. Vehicles are swerving to avoid the hole.,pothole,8.0,high,hospital,5,1
"Covered drain covered by construction debris, water cannot reach the outlet.",drainage,5.5,medium,industrial,1,3
"Waste enclosure damaged with permanent marker near a market, the same place was damaged repeatedly.",vandalism,5.5,medium,market,8,3
"Heritage rest house covered with illegal advertising near a hospital, special cleaning is required.",vandalism,6.0,medium,hospital,8,3
"Market drain breeding mosquitoes since yesterday, the area has an increased disease risk.",drainage,6.5,high,residential,1,1
"Health-post wall covered with political slogans near an industrial road, patients cannot read the service details.",vandalism,6.0,medium,industrial,8,3
"Rubbish piled up beside the walkway, on the public walkway.",trash,4.5,medium,public,7,3
There is a pothole on the road and vehicles have to slow down. The broken area is getting wider.,pothole,7.0,high,school,5,1
"Household rubbish blocking the pavement, beside the school.",domestic_trash,3.0,low,school,0,2
"Hospital access drain giving off a strong smell, nearby residents cannot open windows.",drainage,5.5,medium,residential,1,3
The pothole is making it uncomfortable for people riding motorcycles. The road surface around the hole is also breaking.,pothole,7.0,high,school,5,1
फोहोर राख्ने ठाउँ नभएकोले मानिसहरूले सार्वजनिक स्थान मा नै फोहोर फाल्ने गर्छन्। छिटो फोहोर उठाइदिनुपर्यो।,domestic_trash,3.3,low,public,0,2
"Loose paving blocks near the entrance, at the hospital entrance.",infrastructure,8.0,high,hospital,4,1
"Garbage blocked the drainage system, water overflowing on the road, flood risk",garbage,8.5,high,residential,2,1
Discarded food packaging is covering part of the pavement near the shopping area near the school entrance.,trash,6.0,medium,school,7,3
"Bridge-load sign cracked with a loose edge on a residential road, heavy vehicles may enter an unsafe bridge.",road_damaged_sign,9.5,critical,residential,6,0
"Public rubbish has been left beside the community walkway and is affecting normal pedestrian access, along the neighborhood road.",trash,7.0,high,residential,7,1
"Heritage rest house covered with political slogans near a hospital, special cleaning is required.",vandalism,6.0,medium,hospital,8,3
There is a hole near the edge of the road where motorcycles pass. Rainwater is collecting in the hole.,pothole,2.0,low,residential,5,2
Bato ko bich ma khadal parera gadi haru avoid garirachan. Repair garnu paryo.,pothole,8.0,high,hospital,5,1
Household waste has been left outside for several days. People are avoiding that part of the street.,garbage,2.5,low,residential,2,2
A damaged road surface has developed deep potholes that are difficult for vehicles to avoid beside the highway access route.,infrastructure,7.0,high,highway,4,1
"Broken barrier blocking part of the road, on the market street.",infrastructure,2.5,low,commercial,4,2
"No-entry sign knocked down near a hospital, drivers are taking wrong turns and causing traffic.",road_damaged_sign,7.0,high,hospital,6,1
"Bato ma thulo khadal cha, gadi haru slow garnu parcha. Repair garnu paryo.",pothole,8.0,high,residential,5,1
"One-way sign knocked down near a school, drivers are taking wrong turns and causing traffic.",road_damaged_sign,7.0,high,school,6,1
"Trucks blocking a public bus stop in Tulsipur after recent rain, buses are stopping in the traffic lane.",illegal_parking,7.5,high,commercial,3,1
The road has a large uneven section caused by a pothole. It becomes harder to see when it rains.,pothole,8.5,high,hospital,5,1
Collapsed drain leaving an open gap at the school entrance.,infrastructure,2.5,low,school,4,2
"Cars blocking a public bus stop after recent rain, buses are stopping in the traffic lane.",illegal_parking,7.5,high,commercial,3,1
"Plastic bottles scattered near the road, near the hospital.",trash,2.5,low,hospital,7,2
Rubbish piled up beside the walkway at the public road.,trash,8.5,high,public,7,1
A hole in the road is causing vehicles to shake while passing. People are asking for the road to be repaired.,pothole,5.0,medium,school,5,3
बिजुलीको पोल बाङ्गिएर अस्पताल को बाटोमा खतरा सिर्जना भएको छ। मर्मत सम्भार आवश्यक छ।,infrastructure,9.3,critical,hospital,4,0
"Industrial drain damaged near a commercial area, wastewater is spreading on the footpath.",drainage,7.0,high,commercial,1,1
"School-side drain breeding mosquitoes since yesterday, the area has an increased disease risk.",drainage,7.0,high,residential,1,1
"School boundary wall left with its notice torn down near an industrial road, children can see inappropriate language.",vandalism,6.5,high,industrial,8,1
"Trucks parked on both sides of a narrow road in Tulsipur after recent rain, emergency vehicles cannot pass.",illegal_parking,8.5,high,hospital,3,1
"Speed-limit sign turned toward the wrong road in a commercial area, vehicles are entering the work area too fast.",road_damaged_sign,8.0,high,commercial,6,1
Garbage is collecting near houses and the smell is getting worse. People are avoiding that part of the street.,garbage,5.0,medium,market,2,3
"Storm-water drain covered by construction debris since yesterday, water cannot reach the outlet.",drainage,6.5,high,industrial,1,1
Household waste has been left outside for several days. It has been there for several days.,garbage,7.5,high,school,2,1
सडकको सतह भत्किएर अस्पताल मा गाडी चलाउन गाह्रो भएको छ। मर्मत सम्भार आवश्यक छ।,infrastructure,9.3,critical,hospital,4,0
"Microbuses blocking a residential driveway since yesterday, residents cannot move their vehicles.",illegal_parking,5.5,medium,residential,3,3
घरघरबाट आएको फोहोर राजमार्ग को ढलसम्म पुगेको छ। मानिसहरूलाई धेरै समस्या भएको छ।,domestic_trash,7.7,high,highway,0,1
"Speed-limit sign blocked by a vendor board in a commercial area, vehicles are entering the work area too fast.",road_damaged_sign,8.0,high,commercial,6,1
Household rubbish blocking the pavement at at the school entrance.,domestic_trash,7.0,high,school,0,1
The road surface has broken away and left a hole. It is causing vehicles to shake while crossing.,pothole,5.0,medium,school,5,3
"Bus-stop sign blocked by a vendor board in a commercial area, passengers are stepping into moving traffic.",road_damaged_sign,8.0,high,commercial,6,1
Khana ko fohor ra plastic bato ma chhariyeko cha. Yesto fohor uthauna paryo.,garbage,5.0,medium,residential,2,3
"Motorcycles parked across a school gate since yesterday, children are entering through traffic.",illegal_parking,8.5,high,school,3,1
Garbage is collecting near houses and the smell is getting worse. The smell is noticeable around the area.,garbage,5.0,medium,market,2,3
"Public gutter leaking near a hospital after recent rain, dirty water is crossing the entrance.",drainage,9.0,critical,hospital,1,0
The garbage pickup has been irregular and waste is staying outside. The pile is spreading across the walking area.,garbage,8.5,high,residential,2,1
दिशा सूचक बोर्ड विद्यालय बाट हराएर चालकहरू भ्रमित भइरहेका छन्। नयाँ साइन राख्नुपर्यो।,road_damaged_sign,7.8,critical,school,6,0
"Health-post wall damaged with permanent marker near an industrial road, visitors cannot identify the correct entrance.",vandalism,7.0,high,industrial,8,1
